0.000	3.664	0.000	3.664	1052.500	0.000	0.000	3.664	3.664	0.000
0.093	3.116	2.251	2.903	824.034	229.167	0.782	3.369	3.279	0.098
0.136	2.516	1.936	2.243	618.245	436.343	0.586	3.092	2.939	0.097
0.196	1.735	1.509	1.582	442.134	612.754	0.419	2.778	2.569	0.092
0.283	1.272	1.118	1.152	333.269	721.619	0.316	2.558	2.301	0.093
0.372	0.835	0.870	0.865	264.420	790.499	0.251	2.399	2.117	0.089
0.454	0.595	0.723	0.707	233.400	821.219	0.221	2.292	2.007	0.093
0.517	0.470	0.633	0.615	211.950	843.446	0.201	2.208	1.926	0.092
0.569	0.413	0.585	0.567	199.092	856.709	0.189	2.131	1.853	0.093
0.613	0.387	0.552	0.535	187.726	867.289	0.178	2.072	1.807	0.090
0.649	0.366	0.532	0.516	178.925	876.456	0.170	2.049	1.788	0.090
0.682	0.344	0.515	0.498	183.755	871.956	0.174	2.052	1.782	0.091
0.709	0.339	0.501	0.486	180.478	875.896	0.171	2.037	1.771	0.089
0.726	0.343	0.480	0.467	169.578	886.222	0.161	1.947	1.698	0.089
0.743	0.350	0.472	0.460	163.026	892.834	0.154	1.901	1.669	0.090
0.762	0.339	0.462	0.450	170.808	884.945	0.162	1.948	1.695	0.091
0.774	0.344	0.456	0.446	159.009	897.311	0.151	1.863	1.638	0.089
0.790	0.344	0.449	0.439	165.506	890.681	0.157	1.899	1.663	0.089
0.799	0.339	0.442	0.432	159.279	897.307	0.151	1.840	1.623	0.090
0.810	0.339	0.444	0.434	157.652	898.733	0.149	1.841	1.622	0.089
0.818	0.343	0.437	0.428	153.428	902.949	0.145	1.773	1.575	0.088
0.826	0.339	0.430	0.421	150.562	906.096	0.142	1.779	1.576	0.087
0.834	0.339	0.422	0.414	150.904	906.130	0.143	1.757	1.558	0.087
0.841	0.343	0.425	0.417	149.564	907.277	0.142	1.768	1.569	0.086
0.848	0.339	0.422	0.414	152.139	904.503	0.144	1.743	1.553	0.086
0.854	0.339	0.421	0.413	154.697	902.669	0.146	1.777	1.577	0.087
0.861	0.339	0.417	0.409	153.863	902.621	0.146	1.765	1.565	0.087
0.865	0.339	0.412	0.405	148.421	907.697	0.141	1.748	1.554	0.087
0.870	0.339	0.415	0.408	148.116	908.318	0.140	1.740	1.547	0.087
0.874	0.339	0.413	0.406	147.175	909.319	0.139	1.708	1.524	0.086
0.878	0.339	0.409	0.402	148.961	907.601	0.141	1.743	1.549	0.087
0.309	1.499	0.995	1.047	88.260	653.581	0.119	2.026	1.739	0.185
