0.000	3.630	0.000	3.630	839.031	0.000	0.000	3.630	3.630	0.000
0.176	2.746	2.143	2.523	610.542	228.490	0.728	3.356	3.234	0.065
0.261	2.071	1.527	1.742	434.460	404.572	0.518	3.019	2.803	0.069
0.363	1.536	1.106	1.215	323.963	515.394	0.386	2.794	2.512	0.070
0.463	0.961	0.869	0.883	263.919	575.863	0.314	2.663	2.331	0.073
0.555	0.647	0.724	0.714	242.249	597.532	0.288	2.579	2.229	0.074
0.606	0.505	0.679	0.659	215.052	624.756	0.256	2.454	2.121	0.077
0.652	0.420	0.598	0.579	202.543	637.478	0.241	2.397	2.066	0.080
0.693	0.416	0.555	0.541	196.181	643.864	0.234	2.330	2.006	0.073
0.717	0.392	0.540	0.526	187.788	654.672	0.223	2.220	1.925	0.069
0.745	0.400	0.518	0.506	176.871	663.833	0.210	2.177	1.890	0.068
0.769	0.364	0.498	0.485	178.336	662.402	0.212	2.149	1.875	0.070
0.779	0.364	0.479	0.468	156.525	684.137	0.186	2.026	1.773	0.066
0.794	0.385	0.479	0.470	148.811	691.757	0.177	1.917	1.699	0.067
0.814	0.378	0.458	0.450	159.246	681.787	0.189	1.967	1.741	0.066
0.825	0.363	0.453	0.444	166.419	675.612	0.198	2.092	1.824	0.065
